Bank Name,Bank Code,Payment Mode,,,,,,,H
AU Small Finance Bank,AUSFB,NB,,,,,,,
Axis Bank,AXB,NB,,,,,,,
Axis Corporate Net banking,ACNB,NB,,,,,,,
Bandhan Bank,BANB,NB,,,,,,,
Bandhan Bank Corporate,BABC,NB,,,,,,,
Bank of Baroda - Corporate Banking,BOBCB,NB,,,,,,,
Bank of Baroda - Retail Banking,BOBRB,NB,,,,,,,
Bank of India,BOIND,NB,,,,,,,
Bank of Maharashtra,BOMH,NB,,,,,,,
Canara Bank,CANB,NB,,,,,,,
Canara Bank (Erstwhile Syndicate Bank),SYNB,NB,,,,,,,
Capital Small Finance Bank,CSFB,NB,,,,,,,
Catholic Syrian Bank,CSB,NB,,,,,,,
Central Bank of India,CBOI,NB,,,,,,,
City Union Bank,CUB,NB,,,,,,,
DCB Bank,DCBB,NB,,,,,,,
Equitas Small Finance Bank,EQSFB,NB,,,,,,,
Federal Bank,FEDB,NB,,,,,,,
HDFC Bank,HDFCB,NB,,,,,,,
ICICI Bank,ICICIB,NB,,,,,,,
ICICI Corporate,ICICICO,NB,,,,,,,
IDBI Bank,IDBIB,NB,,,,,,,
IDFC First Bank,IDFCFB,NB,,,,,,,
Indian Bank,INB,NB,,,,,,,
Indian Overseas Bank,IOB,NB,,,,,,,
Indian Overseas Bank - Corporate,IOBC,NB,,,,,,,
IndusInd Bank,INDUSB,NB,,,,,,,
Jammu & Kashmir Bank,JKB,NB,,,,,,,
Jammu & Kashmir Bank - Corporate,JKBC,NB,,,,,,,
Janata Sahakari Bank Ltd Pune,JSBLP,NB,,,,,,,
Karnataka Bank Ltd,KBL,NB,,,,,,,
Karur Vysya Bank,KVB,NB,,,,,,,
Kotak Bank,KTB,NB,,,,,,,
Lakshmi Vilas Bank,LVB,NB,,,,,,,
PNB (Erstwhile-Oriental Bank of Commerce),OBOC,NB,,,,,,,
PNB (Erstwhile-United Bank of India),UNBOI,NB,,,,,,,
Punjab & Sind Bank,PASB,NB,,,,,,,
Punjab National Bank - Corporate Banking,PNBCB,NB,,,,,,,
Punjab National Bank - Retail Banking,PNBRB,NB,,,,,,,
RBL Bank Limited,RBLBL,NB,,,,,,,
Saraswat Bank,SARB,NB,,,,,,,
South Indian Bank,SIB,NB,,,,,,,
Standard Chartered Bank,SCB,NB,,,,,,,
Standard Chartered Bank - Corporate,SCBC,NB,,,,,,,
State Bank of India,SBOI,NB,,,,,,,
State Bank of India - Corporate Banking,SBOIC,NB,,,,,,,
Tamilnad Mercantile Bank Ltd.,TMBL,NB,,,,,,,
UCO Bank,UCOB,NB,,,,,,,
Union Bank of India,UBOI,NB,,,,,,,
Union Bank of India (Erstwhile Andhra Bank),ANB,NB,,,,,,,
Vijaya Bank,VIJB,NB,,,,,,,
Yes Bank Ltd,YESBL,NB,,,,,,,
Airtel Payments Bank,AIRTLM,NB,,,,,,,
Shivalik Bank,NBSB,NB,,,,,,,
Airtel Payments Bank,AIRTLM,MW,,,,,,,
Amazon Pay,ATM,MW,,,,,,,
Mobikwik,MOBKWK,MW,,,,,,,
OLA Money,OLAM,MW,,,,,,,
PhonePe,PHONEPE,MW,,,,,,,
Bajaj Wallet,BJFVWLT,MW,,,,,,,
Lazy Pay Later,LazyPay,Pay Later,,,,,,,
Tata Pay Later,Tatapl,Pay Later,,,,,,,
